id,fen,name,moves,ECO,parent,child,white,draws,black,bullet_avg,blitz_avg,rapid_avg,classical_avg,0_white,0_draws,0_black,1000_white,1000_draws,1000_black,1200_white,1200_draws,1200_black,1400_white,1400_draws,1400_black,1600_white,1600_draws,1600_black,1800_white,1800_draws,1800_black,2000_white,2000_draws,2000_black,2200_white,2200_draws,2200_black,2500_white,2500_draws,2500_black,bullet_white,bullet_draws,bullet_black,blitz_white,blitz_draws,blitz_black,rapid_white,rapid_draws,rapid_black,classical_white,classical_draws,classical_black
920,rnbqkb1r/pppppp1p/5np1/8/5P2/5NP1/PPPPP2P/RNBQKB1R b KQkq - 0 3,Bird: 1..Nf6 2.Nf3 g6 3.g3,1.f4 Nf6 2.Nf3 g6 3.g3,A02,,[1712],37191,4446,35022,2050.6,1933.0,1652.7,1718.1,1177,134,1236,1786,189,1928,2468,235,2510,3402,288,3510,5357,542,5076,8202,880,7739,10923,1378,10201,8465,1206,7731,842,152,765,36396,3000,33747,32713,3852,30540,4157,543,4157,321,51,325
921,rnbqkb1r/ppp1pppp/5n2/3p4/5P2/1P3N2/P1PPP1PP/RNBQKB1R b KQkq - 0 3,Bird: 1...d5 2.Nf3 Nf6 3.b3,1.f4 d5 2.Nf3 Nf6 3.b3,A03,,[],51537,5254,49408,1832.8,1810.2,1643.9,1661.5,1325,132,1332,2590,193,2513,4380,293,4339,7000,443,6709,11272,836,10957,14508,1365,13463,13112,1653,12483,5407,905,5515,238,52,281,35830,2361,33214,43290,4434,41184,7357,728,7364,890,92,860
923,rnbqkb1r/ppp1pppp/5n2/3p4/5P2/5NP1/PPPPP2P/RNBQKB1R b KQkq - 0 3,Bird: 1...d5 2.Nf3 Nf6 3.g3,1.f4 d5 2.Nf3 Nf6 3.g3,A03,,[2562],124239,14369,115119,1929.9,1840.5,1577.4,1643.3,5627,564,5671,8722,747,8568,11642,933,11537,15541,1319,15124,22198,2122,21057,29705,3168,27721,31972,3891,28857,22508,3399,20283,2315,470,2077,108700,8291,96208,105459,12114,96891,17007,1991,16572,1773,264,1656
925,rnbqkbnr/pp2pppp/8/2pp4/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 0 3,Bird: Batavo Gambit,1.f4 d5 2.Nf3 c5 3.e4,A03,,[],120579,10098,151989,1791.3,1852.7,1830.0,1743.7,467,41,548,1205,93,1425,3576,219,3951,12502,732,14154,33075,2276,40006,45772,3960,59647,23624,2462,31634,5541,652,6474,65,16,74,111717,6205,124816,112467,9379,140657,7882,692,10914,230,27,418
926,rnbqkbnr/ppp1pp1p/6p1/3p4/5P2/4PN2/PPPP2PP/RNBQKB1R b KQkq - 0 3,Bird: 1...d5 2.Nf3 g6 3.e3,1.f4 d5 2.Nf3 g6 3.e3,A03,,[],84385,11686,98233,1992.5,1992.0,1885.1,1823.1,351,47,396,751,54,789,1661,125,1789,4704,373,5168,13200,1240,14077,25003,3038,28310,27595,4218,33068,12997,2611,16551,886,206,1059,45017,4010,47428,74144,10118,85132,9607,1449,12100,634,119,1001
927,rnbqkbnr/ppp1pp1p/6p1/3p4/5P2/5NP1/PPPPP2P/RNBQKB1R b KQkq - 0 3,Bird: 1...d5 2.Nf3 g6 3.g3,1.f4 d5 2.Nf3 g6 3.g3,A03,,[1714],27400,4154,27665,2167.4,2109.9,1877.4,1861.6,230,24,251,343,28,392,627,46,673,1057,110,1154,2245,243,2526,4651,555,4718,8593,1198,8366,9235,1669,9126,1619,379,1775,13992,1340,13535,24830,3731,24628,2303,362,2757,267,61,280
928,rnbqkb1r/ppp1pppp/5n2/3p4/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq - 2 3,Bird: 1...d5 2.b3,1.f4 d5 2.b3 Nf6 3.Bb2,A03,,[],39326,4114,35524,1988.7,1905.8,1731.0,1676.9,389,30,414,951,64,948,2211,129,2268,3283,223,3296,5926,425,5393,10998,1003,9702,11942,1398,10504,6642,985,6191,535,80,438,57247,3719,48577,35082,3617,31223,3925,469,3979,319,28,322
929,rnbqkbnr/ppp1pppp/8/8/4pP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 1 3,Bird Opening: Williams Gambit,1.f4 d5 2.e4 dxe4 3.Nc3,A03,,[],142223,11484,159156,1631.4,1581.7,1472.4,1466.0,7759,661,8474,17382,1551,19362,27280,2247,30691,40561,2988,45527,51040,4013,56506,38350,3290,43244,11196,1066,12682,1051,125,1184,25,2,13,284619,17028,292339,127286,10272,141910,14262,1149,16435,675,63,811
930,rnbqkbnr/ppp1pppp/8/8/4pP2/3P4/PPP3PP/RNBQKBNR b KQkq - 0 3,Prokofiev Gambit,1.f4 d5 2.e4 dxe4 3.d3,A03,,[],80144,6562,84392,1658.9,1604.8,1492.0,1440.8,3208,526,4611,6611,767,8154,11833,1140,13217,21920,1695,23458,32328,2481,32893,21004,1857,22358,4346,457,5141,524,68,526,22,4,16,224280,15345,217501,73695,6008,76499,6241,536,7487,208,18,406
931,rnbqkb1r/ppp1pppp/5n2/3p4/5P2/6P1/PPPPP1BP/RNBQK1NR b KQkq - 2 3,Bird: 1...d5 2.g3,1.f4 d5 2.g3 Nf6 3.Bg2,A03,,[],32745,3557,33155,1811.9,1731.5,1543.4,1538.2,1880,212,1886,2924,268,3100,3926,365,4383,5487,477,5892,7091,642,7233,9137,981,9573,6607,824,6422,4100,566,3742,323,67,293,41252,3070,38345,27929,3025,27913,4525,488,4843,291,44,399
